"Time-Step";"flow-time";"tensao-a";"tensao-b";"tensao-c"
193;0.01608269;1033.321131298123;-638.5375398595694;-822.4380778501184
194;0.01616602;1027.740096761321;-620.4259708185813;-883.4983058570485
195;0.01624935;1022.588370833001;-601.2267848026224;-942.1385847832502
196;0.01633268;1017.765816785961;-581.4032251243907;-997.6995531362674
197;0.01641601;1016.050994695367;-558.272321492085;-1048.524013115478
198;0.01649934;1012.444860157262;-534.3763766713831;-1094.488349558175
199;0.01658267;1006.158521737838;-510.7225467518909;-1135.967520940472
200;0.016666;999.0983369557582;-486.5131943442455;-1173.696423304502
201;0.01674933;993.6591865362442;-462.1767311819212;-1204.481986624284
202;0.01683266;987.575400020422;-437.9017150433634;-1229.637110006075
203;0.01691599;982.5775272037447;-413.5438743149147;-1249.609778566472
204;0.01699932;977.6102358997882;-389.6415273303693;-1262.663218697909
205;0.01708265;972.008826772795;-365.9587560776414;-1272.413235920053
206;0.01716598;967.8516035191051;-342.9179598546555;-1278.424885168939
207;0.01724931;963.6677180313047;-320.8700897775346;-1280.122244091407
208;0.01733264;959.9206731234613;-298.4129501797441;-1279.836344719347
209;0.01741597;956.3416722329395;-275.6020416644648;-1277.242808708457
210;0.0174993;952.9146425691189;-251.091686824836;-1269.725336834584
211;0.01758263;949.1110766195027;-225.3192904555388;-1259.695395023801
212;0.01766596;947.90727241181;-197.1014911757676;-1250.68156582029
213;0.01774929;944.1162486969964;-165.7117363295;-1239.443007376279
214;0.01783262;941.4997093947323;-130.568555114335;-1228.468193708171
215;0.01791595;938.883289949873;-91.59909535978082;-1220.30717433362
216;0.01799928;935.8043700287191;-48.27811712909756;-1208.645569177902
217;0.01808261;931.3421572996723;-0.3616275894461586;-1197.430748200324
218;0.01816594;928.7254738968096;52.0419518201691;-1185.229664129547
219;0.01824927;925.3316315009431;108.1909356754906;-1173.001771947986
220;0.0183326;920.9649301635317;166.6757182657123;-1161.69490922151
221;0.01841593;914.9516995758499;225.3268794342053;-1151.846299346843
222;0.01849926;905.771010564448;283.9040870079546;-1143.608773213263
223;0.01858259;904.009421071839;351.1893582908733;-1128.053341174132
224;0.01866592;895.0067397462871;412.4484276878676;-1117.265788595674
225;0.01874925;883.4658506302812;471.2136344128964;-1111.617095422619
226;0.01883258;879.4093262886587;536.7944692756475;-1095.58018709694
227;0.01891591;869.6357925168708;597.3196111263699;-1085.087080951728
228;0.01899924;856.7298015218092;651.9437037374084;-1076.25073066139
229;0.01908257;851.0434864418604;713.2610762002172;-1057.483523643407
230;0.0191659;835.2898447979574;759.9104999248028;-1048.436998980883
231;0.01924923;825.193709460554;812.2277161063602;-1033.296668370735
232;0.01933256;811.0865941040854;854.3320618203242;-1021.879310815063
233;0.01941589;797.3388471227198;892.9798223405595;-1008.097036865293
234;0.01949922;781.0452909767705;926.2333165685304;-994.4281417287999
235;0.01958255;764.1063368878024;953.2458275714174;-979.4382399759335
236;0.01966588;747.5042558985151;976.5212153833543;-966.6689596016213
237;0.01974921;728.817250013235;993.7653258373442;-950.8156386586784
238;0.01983254;709.1042619218244;1005.687794730161;-936.847581716633
239;0.01991587;688.4568399612866;1015.938005687304;-921.8697696821068
240;0.0199992;667.3202522386532;1021.540161067463;-908.2746307801226
241;0.02008253;643.8123903093948;1024.336788602156;-894.1629636814313
242;0.02016586;618.3783710795066;1024.580321192032;-880.0925882614569
243;0.02024919;590.9797637357161;1021.560108348577;-865.4087071016875
244;0.02033252;560.2350729980192;1017.220749668358;-850.2548647921873
245;0.02041585;525.2875934275073;1009.681181818424;-835.0603421213563
246;0.02049918;483.883703506992;1000.328176822657;-819.0009465449834
247;0.02058251;435.4411351318005;988.7348132464152;-802.4875556331717
248;0.02066584;379.9456481321712;976.0314051771882;-785.3245013457193
249;0.02074917;316.9950477241959;961.1888864340502;-767.2684697383543
250;0.0208325;249.0340156483906;945.5414488598278;-748.9226169371516
251;0.02091583;178.0426611138708;928.601952748857;-730.3102520315623
252;0.02099916;105.5277855592992;915.2688785446541;-709.881635674527
