Time-Step;flow-time;jmag(plano-eletrodos-a);jmag(plano-eletrodos-b);jmag(plano-eletrodos-c)
153.0;0.012699;696995.8935849243;21227620.31316845;18119000.95498355
154.0;0.012782;989346.270688961;21545095.42142867;18072287.63415589
155.0;0.012865;1284607.146361021;21652981.40229416;17476072.31623118
156.0;0.012948;1574035.018568598;21842318.98634975;17248878.97446828
157.0;0.013031;1865627.516449837;21841893.71467787;16536729.54025396
158.0;0.013114;2151331.203384309;21962105.84715575;16280800.57704828
159.0;0.013197;2438365.983051463;21943953.95720285;15653079.00411925
160.0;0.01328;2718143.716244588;21985020.33378935;15291350.01570743
161.0;0.013363;3000104.461795547;21878730.8040146;14558416.13832469
162.0;0.013446;3276887.659683817;21864171.92827688;14167962.49023118
163.0;0.013529;3558639.3899759;21734138.91949367;13483700.78346462
164.0;0.013612;3833181.529366819;21648276.1828644;13000865.57368575
165.0;0.013695;4110401.838991648;21463226.54309711;12280590.81029135
166.0;0.013778;4386262.43298785;21309570.34072921;11734167.10116148
167.0;0.013861;4658467.479812709;21084560.0390542;11033338.78278391
168.0;0.013944;4945837.25717812;20867467.79053458;10417844.86490708
169.0;0.014027;5235776.768266036;20610958.41468544;9744122.144321233
170.0;0.01411;5534674.389518846;20341990.9968521;9086097.025015702
171.0;0.014193;5842543.337350842;20043877.91988788;8414174.87415136
172.0;0.014276;6153072.304247072;19708690.35347642;7726275.455372298
173.0;0.014359;6486117.809256516;19385591.44469908;7068645.156246143
174.0;0.014442;6824334.450387374;19067664.17445983;6402235.563894115
175.0;0.014525;7189661.593492214;18706884.3471249;5746555.597924522
176.0;0.014608;7599790.150513851;18395499.51542733;5093507.08093624
177.0;0.014691;8028730.051957413;18026600.2467592;4433228.832745344
178.0;0.014774;8467404.778515577;17734141.34344709;3812458.795486751
179.0;0.014857;8906860.007813666;17350080.57687216;3201898.005306873
180.0;0.01494;9361686.464618495;17029228.21956624;2617418.691120588
181.0;0.015023;9759755.091129621;16557312.14707505;2024775.588879451
182.0;0.015106;10148085.96572754;16167737.80975187;1472873.656819224
183.0;0.015189;10499885.11333012;15534402.12209581;922998.3670622505
184.0;0.015272;10834830.09286126;14960611.52154684;428571.4819794589
185.0;0.015355;11136633.01147633;14252755.73126063;29566.04529077732
186.0;0.015438;11429049.58325066;13638852.67916053;411823.5542989227
187.0;0.015521;11680180.51221824;12940589.41730457;781465.7044403701
188.0;0.015604;11939183.91174298;12315471.41603981;1127576.101131922
189.0;0.015687;12213154.11220543;11715509.7001311;1464591.96762335
190.0;0.01577;12480415.22959321;11198352.4681223;1790509.489725769
191.0;0.015853;12745460.86458464;10650626.25461172;2113694.521075508
192.0;0.015936;13023762.70938697;10178672.41342122;2426350.871722656
193.0;0.016019;13255216.36453919;9639896.47416611;2738886.322394016
194.0;0.016102;13511774.14316144;9232723.865333926;3038858.670475842
195.0;0.016185;13765295.43430241;8890433.68933254;3328277.680115528
196.0;0.016268;14178453.80357681;8723824.398028105;3601076.958539862
197.0;0.016351;14567091.49905553;8584116.931949658;3871450.883634319
198.0;0.016434;14752405.45191239;8399985.099107962;4149845.443311534
199.0;0.016517;15438174.66921654;8626617.100378823;4425817.187128413
200.0;0.0166;16148917.27730278;9023857.287235247;4691692.843722777
201.0;0.016683;17158370.12122412;9611350.421368135;4967672.392027094
202.0;0.016766;17852052.68981689;9968222.644429188;5240223.597457695
203.0;0.016849;18517131.72895467;10461613.54984483;5515887.563396377
204.0;0.016932;18865121.88971174;10211579.15179402;5821862.427664137
205.0;0.017015;18976991.65086351;10130135.01181644;6124410.376796116
206.0;0.017098;19022481.43357599;9498517.358758291;6463884.687669432
207.0;0.017181;18679742.61527406;9039458.121639604;6792496.924246581
208.0;0.017264;18643615.72812686;8309857.315918218;7157579.704852177
209.0;0.017347;18122400.78212398;7688117.045016899;7517811.568352875
210.0;0.01743;18081790.42164244;7000644.693068394;7910397.607919511
211.0;0.017513;17416989.31745451;6245359.879276665;8283817.691145163
212.0;0.017596;17356600.15763577;5619346.137016935;8685732.021211488
213.0;0.017679;16679498.92076619;4828060.736668562;9105010.041650178
214.0;0.017762;16535970.50960975;4246745.898933766;9563159.742325727
215.0;0.017845;15948298.04155339;3515097.123752964;9999764.7221824
216.0;0.017928;15575783.49279756;2972702.854546569;10396179.49534453
217.0;0.018011;15172650.83178469;2334367.758130807;10773454.22949443
218.0;0.018094;14684611.91072159;1773614.682320317;11118699.76749596
219.0;0.018177;14312469.62460636;1259636.83203321;11431313.66529383
220.0;0.01826;13794081.97170934;737424.8222095461;11744252.86757576
221.0;0.018343;13377647.27424014;277417.1908702026;12028268.81730575
222.0;0.018426;12921417.46394127;253671.5899681756;12292880.42174174
223.0;0.018509;12494917.36393564;701837.5674055564;12546143.24735713
224.0;0.018592;11995189.71617011;1220655.944901471;12767170.0558325
225.0;0.018675;11482428.28568669;1811374.236657641;12999627.89836884
