Time-Step;flow-time;tensao(plano-eletrodos-a);tensao(plano-eletrodos-b);tensao(plano-eletrodos-c)
209.0;0.017347;759.7629877474171;-9.572432994372464;-978.2703718486931
210.0;0.01743;752.5781921851185;0.9301852119485841;-994.9469749139142
211.0;0.017513;785.5913340129349;11.42281924799255;-1010.825734770921
212.0;0.017596;775.7431356946377;27.26414710635514;-1022.589039420646
213.0;0.017679;805.589563553512;36.16140437468186;-1034.959999644004
214.0;0.017762;797.8850065895697;55.87743585777885;-1043.22682380788
215.0;0.017845;817.7001131637809;68.37906145648131;-1051.966419585113
216.0;0.017928;822.0810957384678;92.10783463647876;-1058.367773163704
217.0;0.018011;825.6765349060175;109.6149632081432;-1064.540844903956
218.0;0.018094;834.0142646984875;132.6753909549531;-1071.023193742685
219.0;0.018177;831.9126480127335;157.4543061099081;-1074.491918502948
220.0;0.01826;838.7664541856814;182.0858587656254;-1075.938770535495
221.0;0.018343;836.924197689595;208.6701102978288;-1075.077479892496
222.0;0.018426;836.3387410110292;235.5448726582918;-1071.985775886433
223.0;0.018509;831.5643159433248;262.2604060085968;-1066.403979830727
224.0;0.018592;829.8225340099735;285.2044744709932;-1061.482220012402
225.0;0.018675;826.6635453731998;303.3706890762583;-1055.918388898066
226.0;0.018758;822.224310824437;317.5441226720254;-1051.500331316111
227.0;0.018841;817.7300253219055;328.9374737560086;-1045.20393226075
228.0;0.018924;809.975809554344;339.6688123959048;-1038.95674941823
229.0;0.019007;801.6023387194422;349.953131691693;-1030.692341575088
230.0;0.01909;790.5060099335317;360.4550291578943;-1022.433346639471
231.0;0.019173;779.862696008671;370.6211278303109;-1012.603053280985
232.0;0.019256;763.5113491527796;381.4513323584602;-1002.321044627277
233.0;0.019339;747.2873801659705;391.5092735439548;-989.6466675288073
234.0;0.019422;728.53163858983;402.0118828950227;-976.0986671568863
235.0;0.019505;707.2315277585568;412.017144931643;-961.2276489313869
236.0;0.019588;683.2174933275536;420.80516826933;-944.4261219505198
237.0;0.019671;656.927870111437;428.7746848625145;-925.7779357810953
238.0;0.019754;627.483341979979;433.5517798258669;-903.8318887446045
239.0;0.019837;592.4745377681925;426.8537145418473;-870.4653844408788
240.0;0.01992;553.5354684984338;409.5674589736514;-827.2619155586476
241.0;0.020003;511.8092865997819;384.9536794415115;-778.0235198263736
242.0;0.020086;467.6949696095718;351.8581358580045;-724.4485959801071
243.0;0.020169;421.5651482487211;314.7709472749313;-667.1692072502033
244.0;0.020252;375.2067499899263;285.647470459021;-612.6449126306685
245.0;0.020335;329.5090632379088;264.4604816174328;-564.2851816134768
246.0;0.020418;283.607282391312;247.3099787861248;-521.9144804257568
247.0;0.020501;237.6830403808688;235.8952185051729;-489.4200705622389
248.0;0.020584;191.7062399127536;229.4661208801203;-457.8653811607684
249.0;0.020667;147.4756242618011;232.697439281341;-445.4394772859874
250.0;0.02075;101.4927838695613;231.500775890458;-408.6331416303107
251.0;0.020833;56.95633004158758;238.0773415038586;-397.5181286940475
252.0;0.020916;11.17064829249592;240.5358808986568;-365.1198624759172
253.0;0.020999;-32.12552291687037;254.0590885792157;-368.0761830461036
254.0;0.021082;-77.91286446169995;257.1511115474159;-330.4828101343185
255.0;0.021165;-121.7251265646056;268.7515251700297;-325.0342314661515
256.0;0.021248;-166.6268896260454;275.0695723717752;-296.7376930577078
257.0;0.021331;-209.3887156942369;289.2455561260659;-296.9581383281016
258.0;0.021414;-253.7277612079938;296.4416853450082;-268.2381085391921
259.0;0.021497;-296.2531031522698;309.63784197389;-261.7027333880231
260.0;0.02158;-339.584344870095;318.2740878928587;-236.2495968684742
261.0;0.021663;-380.7806913781399;334.0146843214458;-234.7597019077646
262.0;0.021746;-422.944901038327;343.889939970308;-209.7302102251026
263.0;0.021829;-463.2378917841179;359.447251508155;-204.6872956823465
264.0;0.021912;-504.1776833389802;370.1890184138882;-180.7748638756187
265.0;0.021995;-542.9129106395656;385.9438200500358;-175.1924832110124
266.0;0.022078;-581.890416036857;398.0559398265963;-154.7094396546118
267.0;0.022161;-618.7894365501127;413.9319376874358;-146.6669240828835
268.0;0.022244;-654.8432568251534;427.3565040419023;-129.2709813699051
269.0;0.022327;-688.3995102017483;441.958027859187;-117.3341708355825
270.0;0.02241;-721.5975785281296;455.6542832112107;-102.2318937148171
271.0;0.022493;-752.6918657480013;469.275371847455;-87.72938721271758
272.0;0.022576;-781.0636849769376;482.5110146254422;-72.09060920441974
273.0;0.022659;-808.2765177698897;494.7773955694116;-56.55215813134022
274.0;0.022742;-832.7307361482908;505.8289126784783;-40.12987268085862
275.0;0.022825;-854.9750754682422;515.7508970131316;-22.87590518553505
276.0;0.022908;-875.576392333303;525.506806557657;-6.239412202939418
277.0;0.022991;-893.9286278180181;533.9412958238275;11.29969054982249
278.0;0.023074;-910.701988400171;535.1990745968405;29.04470149722718
279.0;0.023157;-924.2195944006683;542.8562258131997;48.65450041594289
280.0;0.02324;-937.3054095201859;548.5643020194375;68.87169008797554
281.0;0.023323;-948.3066020480076;555.2954680392146;90.65848856101299
282.0;0.023406;-957.7982531719551;560.5223268110062;112.4546599353336
283.0;0.023489;-964.8608009494671;576.1056828330427;136.6410643964731
284.0;0.023572;-969.6809395195793;594.0908273388236;161.8337000865141
285.0;0.023655;-975.133063127797;611.640345789366;193.6239587741179
286.0;0.023738;-979.2570520608327;631.3587922659951;230.5124140025473
287.0;0.023821;-982.6541823678077;649.0533248667799;271.007842382093
288.0;0.023904;-984.3173553202843;664.8058825091051;313.6779004755865
289.0;0.023987;-983.6479055138558;677.0769719736759;357.032440769339
290.0;0.02407;-981.951497262063;681.9545230141171;399.8931864698623
291.0;0.024153;-979.8809053892884;685.6450828882782;442.7328239067857
292.0;0.024236;-977.1637400812682;681.1848980191187;484.5736515261742
293.0;0.024319;-973.9144675446163;679.1836341426826;526.824523412388
294.0;0.024402;-970.6451446372172;667.4000911408001;567.7066986015761
295.0;0.024485;-965.6651661639802;651.4635461070986;607.8106900830797
296.0;0.024568;-962.2277327402986;626.2887221821784;646.6038617857578
297.0;0.024651;-954.7836032110636;597.4401805337948;684.1173134917645
298.0;0.024734;-946.9300648481467;560.023189486076;719.0092959117015
299.0;0.024817;-919.409743516034;502.296429158834;748.6469034259134
300.0;0.0249;-884.6487652998744;425.641611939621;773.8749637688786
301.0;0.024983;-838.9058093637142;335.756806148956;794.9735832118633
302.0;0.025066;-800.5139071184589;252.62072692731;816.6974595995628
303.0;0.025149;-765.7530168235197;179.4429822791707;838.6085963457837
304.0;0.025232;-749.9811972227407;128.2527057241859;863.336723191325
305.0;0.025315;-744.046200404607;89.16609216960038;887.976345567365
306.0;0.025398;-743.3107293342946;58.71245130682662;913.1058571142053
307.0;0.025481;-750.1473895024536;39.7968675918776;937.6550931871259
308.0;0.025564;-756.7093650712139;23.03652542630483;960.5939042780172
309.0;0.025647;-770.146669960541;4.841540738345044;981.9320967581439
310.0;0.02573;-780.4203065187589;-3.770823383899642;1001.245832474072
311.0;0.025813;-795.5617791435517;-25.54434773780067;1017.21658554838
312.0;0.025896;-801.175881930948;-26.68997483072293;1034.061913462494
313.0;0.025979;-821.0732194619422;-52.53404529909965;1044.599527183191
314.0;0.026062;-820.2219979284376;-54.52139476620425;1057.975608077949
