"Time-Step";"flow-time";"current_in_a";"current_in_b";"current_in_c"
201;0.01674933;26687706.91314952;13553109.42907063;8679259.509739159
202;0.01683266;26837559.38701031;12862084.57913969;9544900.720867656
203;0.01691599;26938061.8359493;12139657.77906779;10463545.64902755
204;0.01699932;27006433.18134417;11377600.3691718;11402125.3363634
205;0.01708265;27037489.14061062;10583928.99222491;12308484.71133271
206;0.01716598;27013428.77451414;9750253.143405622;13202507.84766591
207;0.01724931;26940580.36384672;8879381.048758034;14094873.02382023
208;0.01733264;26827770.15446841;7991375.952653714;14935473.86935044
209;0.01741597;26683711.11458969;7102374.422087949;15744384.62377562
210;0.0174993;26486581.46642842;6208748.17365588;16505896.54347968
211;0.01758263;26265074.35833709;5313463.0240222;17277232.11844045
212;0.01766596;25977918.42483913;4430516.975944838;18011630.24605474
213;0.01774929;25700938.13227434;3582174.383389266;18739588.28749646
214;0.01783262;25365664.84362751;2763153.806991028;19439012.44013125
215;0.01791595;25017279.44227418;1995530.251522974;20060635.5817866
216;0.01799928;24642370.61975268;1273579.512682033;20687697.18805309
217;0.01808261;24250661.21477346;612274.2871472712;21269477.07432183
218;0.01816594;23821404.15684026;124173.5712745667;21831786.65125326
219;0.01824927;23376036.89738219;601021.5983555838;22357035.96256234
220;0.0183326;22901972.26191583;1121412.387182562;22835849.39202975
221;0.01841593;22411018.88060704;1612088.858844128;23270702.64413286
222;0.01849926;21906699.98297797;2076481.838437868;23667250.03382153
223;0.01858259;21346160.58338508;2523888.177365514;24001384.39784164
224;0.01866592;20799631.20623229;2962856.92081325;24311047.68467167
225;0.01874925;20203844.62648604;3393360.681811081;24591572.47534482
226;0.01883258;19582076.37847234;3824694.004318126;24808401.78035779
227;0.01891591;18943168.42639688;4255427.293815424;24985451.00087057
228;0.01899924;18257035.38696767;4695341.336797033;25221119.01261242
229;0.01908257;17562818.60563105;5166813.014825341;25315582.2295186
230;0.0191659;16823280.29511223;5670462.097099462;25465580.50989094
231;0.01924923;16073430.82429462;6264392.522102667;25558428.86483511
232;0.01933256;15281358.4959524;6910359.64660978;25623068.98321712
233;0.01941589;14462233.57432879;7588321.397707409;25671303.06324627
234;0.01949922;13630204.97378832;8270627.147504553;25699811.18762693
235;0.01958255;12769428.63350894;8977899.06589229;25711632.0545794
236;0.01966588;11866104.48109657;9714965.116279785;25664739.25585501
237;0.01974921;10956833.90881654;10468710.16607331;25634144.65451784
238;0.01983254;10022092.91775515;11239884.866542;25539520.26001861
239;0.01991587;9071245.240707332;12017454.78636625;25426246.14793607
240;0.0199992;8104655.774630182;12802586.69788127;25271818.43580476
241;0.02008253;7149223.579933491;13594618.50277431;25100808.27445702
242;0.02016586;6202728.446365879;14387026.10648436;24909740.94441465
243;0.02024919;5264646.2825117;15194334.71013695;24695322.48517149
244;0.02033252;4359396.603338438;15987551.27847108;24480568.4077243
245;0.02041585;3484727.415281718;16776298.83934346;24247284.72010391
246;0.02049918;2672846.322263918;17551627.607902;23997324.46669482
247;0.02058251;1932896.912438565;18311929.953816;23737170.17757239
248;0.02066584;1272146.607913408;19046237.48158745;23476838.93625146
249;0.02074917;695086.6753852635;19766143.1668135;23194528.57300733
250;0.0208325;175716.7673595105;20479295.63935239;22907373.52072746
251;0.02091583;318040.1166771486;21164945.86644865;22590988.07265229
252;0.02099916;779010.181110336;21771651.52123407;22255572.67082117
253;0.02108249;1227757.437463533;22350904.13196517;21898127.7318921
254;0.02116582;1668723.031423894;22893878.57979405;21521104.02711444
255;0.02124915;2103920.516555557;23403389.87533976;21112383.20773952
256;0.02133248;2535140.62437551;23837980.11403714;20652442.15967038
257;0.02141581;2962604.330830715;24234125.40720979;20167543.21078476
258;0.02149914;3385783.75067443;24587137.76133488;19662426.47879089
259;0.02158247;3809024.219187408;24897034.09764177;19117944.99646122
260;0.0216658;4232478.07898028;25161415.74393861;18519909.74632282
261;0.02174913;4660018.937692858;25360740.19425139;17881597.65216227
262;0.02183246;5109086.223789317;25532948.34000356;17213950.33326109
263;0.02191579;5586438.524826923;25654502.14161452;16503634.3051348
264;0.02199912;6092898.732555834;25747386.06785758;15753651.99625109
265;0.02208245;6652088.038953625;25799396.41863242;14971869.53651294
266;0.02216578;7294837.479012211;25825363.235446;14159901.22138584
267;0.02224911;7997850.516917189;25810016.36917017;13296694.24990076
268;0.02233244;8728125.901093543;25759551.58803446;12412324.2936558
269;0.02241577;9504739.869947849;25688077.06331247;11510574.53055697
270;0.0224991;10314219.39718824;25574875.06453665;10605923.34969185
271;0.02258243;11116964.40841907;25435971.88356804;9685895.440748403
272;0.02266576;11900772.42570589;25276779.04292236;8770963.619252698
273;0.02274909;12633940.07221322;25077977.30565651;7847913.972937764
274;0.02283242;13337574.18147491;24839223.19800655;6935225.478535115
275;0.02291575;14033453.67483144;24572987.65662639;6041214.257139121
276;0.02299908;14725770.60521169;24301108.86253626;5156790.605449293
