Time-Step;flow-time;current_in_a;current_in_b;current_in_c
1610;0.008050000000000002;-34884937.02013316;20681785.40241211;14203151.61772106
1620;0.008100000000000001;-34949241.27006145;20143927.30311947;14805313.96694195
1630;0.008150000000000001;-35001128.22098143;19598912.16237372;15402216.05860769
1640;0.008200000000000001;-35040579.43770649;19046933.62145922;15993645.81624725
1650;0.00825;-35067580.90340719;18488187.79572324;16579393.10768392
1660;0.0083;-35082123.02459133;17922873.20489712;17159249.81969421
1670;0.008350000000000002;-35084200.63451251;17351190.70256316;17733009.93194935
1680;0.008400000000000001;-35073812.9950058;16773343.40479234;18300469.59021343
1690;0.008450000000000001;-35050963.79675007;16189536.61797806;18861427.17877201
1700;0.008500000000000001;-35015661.15795665;15599977.76589178;19415683.39206485
1710;0.00855;-34967917.62148502;15004876.31598644;19963041.30549857
1720;0.0086;-34907750.15038634;14404443.7049735;20503306.44541284
1730;0.008650000000000001;-34835180.1218766;13798893.26370064;21036286.85817594
1740;0.008700000000000001;-34750233.31974138;13188440.14135624;21561793.1783851
1750;0.008750000000000001;-34652939.92517499;12573301.22902795;22079638.69614703
1760;0.008800000000000001;-34543334.50605725;11953695.08264224;22589639.42341499
1770;0.00885;-34421456.00467167;11329841.8453126;23091614.15935906
1780;0.008900000000000002;-34287347.72386945;10701963.16912367;23585384.55474577
1790;0.008950000000000001;-34141057.3116842;10070282.13637944;24070775.17530474
1800;0.009000000000000001;-33982636.74440278;9435023.180342985;24547613.56405977
1810;0.009050000000000001;-33812142.30809841;8796412.005496539;25015730.30260187
1820;0.0091;-33629634.57863248;8154675.507349696;25474959.07128277
1830;0.009150000000000002;-33435178.40013224;7510041.691824511;25925136.7083077
1840;0.009200000000000002;-33228842.86195197;6862739.594246184;26366103.26770577
1850;0.009250000000000001;-33010701.27412592;6212999.197967782;26797702.07615812
1860;0.009300000000000001;-32780831.14132151;5561051.352658272;27219779.78866323
1870;0.009350000000000001;-32539314.13530238;4907127.692282748;27632186.44301964
1880;0.0094;-32286236.06591078;4251460.55280404;28034775.51310672
1890;0.00945;-32021686.85057968;3594282.889634751;28427403.96094492
1900;0.009500000000000001;-31745760.4823856;2935828.194869347;28809932.28751625
1910;0.009550000000000001;-31458554.99665331;2276330.414325613;29182224.58232769
1920;0.009600000000000001;-31160172.43612435;1616023.864424701;29544148.57169963
1930;0.009650000000000001;-30850718.81470167;955143.1489396475;29895575.66576201
1940;0.0097;-30530304.07978346;293923.0756417867;30236381.00414165
1950;0.009750000000000002;-30199042.07319934;-367401.4271253158;30566443.50032463
1960;0.009800000000000001;-29857050.49076293;-1028595.393914755;30885645.88467767
1970;0.009850000000000001;-29504450.84045501;-1689423.905658514;31193874.74611351
1980;0.009900000000000001;-29141368.39925241;-2349652.173133;31491020.5723854
